GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01000","Alabama",5,CAINC30,260,"..."," Proprietors employment ","Number of jobs",195784,194023,201066,210244,214037,217284,221561,226859,229688,238597,240535,244230,241118,244229,256571,261470,267828,275312,278686,287197,285282,297032,303628,305887,329845,322866,338622,351463,361238,367511,371097,383424,387878,393563,405719,425307,450566,472493,508352,507597,511421,510685,548685,539762,543698,555913,562282,569632,575962,593644,585334,626887,674087,715919
 "01000","Alabama",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",70807,68365,66725,64791,64794,64620,63612,63240,61311,59031,59211,59395,57437,55636,58180,56383,55154,53373,50820,49479,48806,48782,47641,47786,50599,50108,50076,49479,49691,51389,50130,48927,47687,41915,40802,39137,38955,37981,43127,41846,41130,40745,40047,38191,38337,37840,37080,37280,36186,35741,34553,34558,34134,33784
 "01000","Alabama",5,CAINC30,280,"...","  Nonfarm proprietors employment ","Number of jobs",124977,125658,134341,145453,149243,152664,157949,163619,168377,179566,181324,184835,183681,188593,198391,205087,212674,221939,227866,237718,236476,248250,255987,258101,279246,272758,288546,301984,311547,316122,320967,334497,340191,351648,364917,386170,411611,434512,465225,465751,470291,469940,508638,501571,505361,518073,525202,532352,539776,557903,550781,592329,639953,682135
 "01000","Alabama",5,CAINC30,290,"...","Average earnings per job (dollars) ","Dollars",5748,6107,6606,7138,7773,8350,9101,10024,10730,11775,12791,13690,15018,15781,16648,17776,18764,19554,20311,21308,22239,23162,24322,25655,26063,27186,27534,28321,29084,30554,31717,32597,33799,34939,36216,37738,38925,40152,40545,41122,42041,43537,43951,44779,45722,46498,47359,47708,48973,50295,51947,54272,56275,57965
 "01000","Alabama",5,CAINC30,300,"..."," Average wages and salaries ","Dollars",5223,5568,5971,6387,6874,7524,8113,8850,9498,10376,11295,12323,13390,14181,14949,15774,16658,17337,17954,18656,19239,20141,20965,21903,22393,23252,23952,24684,25562,26446,27497,28494,29500,30526,31639,32790,34047,35567,36869,38138,38771,39647,40497,41328,41599,42659,43646,44203,45355,46740,48220,51436,53706,56485
 "01000","Alabama",5,CAINC30,310,"..."," Average nonfarm proprietors' income ","Dollars",5784,5868,6161,6519,6725,7112,7518,8745,9185,9926,10359,10383,10250,9677,10770,11897,12199,12188,12701,13511,14356,14393,14974,16227,16162,17473,17414,18095,17741,21895,21879,21639,20719,21798,20930,21603,21706,23603,20851,17006,17445,20697,21008,22516,22550,21780,21337,21521,22322,23289,24080,25199,24246,23334
 "02000","Alaska",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546412,6285382,7150519,8730130,9513851,10114887,10962051,11060492,10592902,11059926,12101339,12840241,13409556,14263462,14997575,15499862,15937679,16376600,17297519,18155936,18706617,20092171,21287123,22331474,23372138,24429161,26019615,27696199,29761264,32860667,32995420,35374322,37870572,38997090,38565077,40642115,41918639,41285498,41919375,43522749,44507583,45366320,48207950,50349667
 "02000","Alaska",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1316736,1472142,1609081,1748249,1902422,2415060,3414241,4088260,4169016,4209954,4444714,5020619,5666770,6529840,7316290,7714105,8176931,8117575,7643404,7952964,8651949,9141679,9550568,10106780,10455116,10705934,10880027,11062253,11603604,12156825,12485362,13345203,14428713,15393832,16352571,17298620,18478358,19536122,20608859,21695664,22644673,24081926,25697756,26577812,26364078,27032137,27821527,27135519,27182023,28041643,28577767,28175456,29341449,30599595
 "02000","Alaska",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",52790,71873,90908,104069,246423,208353,236868,233720,278318,299075,293154,344164,407294,864448,633243,682566,886781,997569,1039388,1117820,1238942,1370518,1472968,1635190,1820796,1865495,1955677,2105149,2273145,2470723,2715458,3077404,3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5417001,6480382,6638119,6592378,7010851,7605685,8011296,9384496,10421450,10719054
 "02000","Alaska",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",9079,16997,22758,24142,24156,25389,27067,27455,32816,35720,49084,68283,80081,72528,76477,86710,103640,110542,116559,123990,129160,140503,174836,208611,226567,241543,257029,247365,265406,259613,246537,283001,293321,320448,333873,353643,381189,397842,421598,455497,585525,773428,809020,837990,842011,851884,775954,734701,765330,747481,765865,860060,1157460,1153396
 "02000","Alaska",8,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",9165,13465,18607,20562,19878,24591,34255,56545,99496,93553,53241,51982,69341,76834,89347,92443,114184,135676,85154,65293,56915,78617,100800,150691,153491,125830,98277,102818,100319,109210,122702,110963,110282,159053,166493,123531,107200,96502,90406,111172,215450,270610,266455,232628,197831,115826,96087,110468,94828,76857,77619,887875,484961,48143
 "02000","Alaska",8,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",34546,41411,49543,59365,202389,158373,175546,149720,146006,169802,190829,223899,257872,715086,467419,503413,668957,751351,837675,928537,1052867,1151398,1197332,1275888,1440738,1498122,1600371,1754966,1907420,2101900,2346219,2683440,2815930,2827895,2745495,2731234,2916063,3121122,3571814,4894680,3946699,4291932,4463020,4331679,4377159,5512672,5766078,5747209,6150693,6781347,7167812,7636561,8779029,9517515
 "02000","Alaska",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",205780,254938,284135,314440,358806,419232,505699,571313,634543,726856,808544,920599,1076455,1335842,1564318,1718216,1898339,1945348,1910110,1989142,2210448,2328044,2386020,2521492,2721663,2928433,3101975,3209198,3420770,3528388,3505797,3669564,3638877,3630246,3773706,3922133,4136805,4544611,5068587,5703654,5603073,5956426,6634321,7016981,6783998,7129596,7458993,7557601,7726501,7875421,7918520,7806368,8445051,9031018
 "02000","Alaska",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732923,734182,733583
 "02000","Alaska",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13744,15507,17086,19417,19479,19690,20586,20322,19642,20406,22117,23207,23518,24227,25020,25691,26369,26910,28219,29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
 "02000","Alaska",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",4448,4837,5084,5355,5709,7006,9203,10400,10492,10468,11014,12387,13541,14523,14980,15017,15356,14915,14173,14674,15812,16522,16750,17167,17442,17745,18001,18177,18930,19610,19984,21252,22768,23965,25219,26238,27706,28929,30294,31559,32401,33728,35567,36353,35721,36647,37641,36501,36636,38011,38891,38443,39965,41713
 "02000","Alaska",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",178,236,287,319,739,604,639,595,700,744,726,849,973,1923,1297,1329,1665,1833,1927,2062,2264,2477,2583,2777,3038,3092,3236,3459,3708,3985,4346,4901,5080,5149,5006,4866,5105,5354,6003,7944,6793,7473,7666,7389,7340,8785,8981,8868,9449,10310,10902,12804,14195,14612
 "02000","Alaska",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",31,56,72,74,72,74,73,70,83,89,122,168,191,161,157,169,195,203,216,229,236,254,307,354,378,400,425,406,433,419,395,451,463,499,515,536,572,589,620,663,838,1083,1120,1146,1141,1155,1050,988,1032,1013,1042,1173,1577,1572
 "02000","Alaska",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",31,44,59,63,60,71,92,144,250,233,132,128,166,171,183,180,214,249,158,120,104,142,177,256,256,209,163,169,164,176,196,177,174,248,257,187,161,143,133,162,308,379,369,318,268,157,130,149,128,104,106,1211,661,66
 "02000","Alaska",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",117,136,157,182,607,459,473,381,367,422,473,552,616,1590,957,980,1256,1380,1553,1713,1924,2081,2100,2167,2404,2483,2648,2884,3112,3391,3755,4273,4444,4403,4234,4143,4372,4622,5250,7120,5647,6011,6177,5925,5931,7473,7801,7731,8290,9192,9754,10419,11958,12974
 "02000","Alaska",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",695,838,898,963,1077,1216,1363,1453,1597,1807,2004,2271,2572,2971,3203,3345,3565,3574,3542,3670,4040,4208,4185,4283,4540,4854,5132,5273,5581,5692,5611,5844,5742,5652,5820,5949,6203,6730,7451,8297,8017,8342,9182,9598,9192,9665,10092,10166,10414,10675,10776,10651,11503,12311
 "02000","Alaska",8,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",1435630,1623536,1787335,1957403,2160731,2864653,4431653,5493765,5083939,4969107,5186469,5860473,6776533,7844140,8774150,9286620,9769034,9603435,9040303,9453672,10318104,10935820,11457965,12119033,12568767,12889246,13080430,13289883,13885401,14527361,14882097,15867110,17029542,18028572,18955972,19934489,21169408,22333919,23393313,24425916,25422826,26937853,28437092,29480679,29693231,30367977,31209356,30384981,30445976,31385975,32049395,31624353,32986297,34526018
 "02000","Alaska",8,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",1127186,1265955,1381476,1509607,1664194,2225923,3561535,4403379,3943397,3743324,3882818,4393714,5238993,6061610,6631068,6956626,7088586,6780364,6421673,6601348,7376285,7808009,8217305,8630690,8961067,9198360,9290692,9517199,9903619,10328924,10482804,11077295,11733847,12324416,12794998,13460960,14256392,15122490,16103091,17037858,17532353,17998024,18772302,19588215,19949102,20515476,21225740,20517847,20397036,21050053,21846741,21551009,22537162,24007869
 "02000","Alaska",8,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",198687,231402,268124,294610,327907,411651,595546,728481,751039,749715,774837,865716,1046917,1211745,1359351,1483758,1570532,1554888,1518153,1590333,1773932,1936691,2090534,2293333,2391753,2443940,2426884,2423208,2446054,2531496,2648664,2818378,3153314,3388080,3734310,3997473,4335579,4476020,4683769,4775985,5006987,5169982,5692027,6143052,6405385,6620423,6595748,6672841,6758639,7241944,7177451,6811478,6744072,6943819
 "02000","Alaska",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",141874,166559,194036,209707,224154,261516,338458,390945,455461,473999,480841,545285,639598,731759,837255,887952,982976,1017812,1015919,1053244,1193461,1295847,1416845,1570063,1621101,1649415,1636860,1637787,1645985,1715139,1824247,1957926,2255768,2437978,2756152,2951911,3207185,3251966,3429311,3489261,3698557,3832065,4247881,4591887,4798960,5052673,5018703,5163287,5249117,5715194,5613983,5252299,5072924,5146144
 "02000","Alaska",8,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",56813,64843,74088,84903,103753,150135,257088,337536,295578,275716,293996,320431,407319,479986,522096,595806,587556,537076,502234,537089,580471,640844,673689,723270,770652,794525,790024,785421,800069,816357,824417,860452,897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1563468,1559179,1671148,1797675
 "02000","Alaska",8,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",109757,126179,137735,153186,168630,227079,274572,361905,389503,476068,528814,601043,490623,570785,783731,846236,1109916,1268183,1100477,1261991,1167887,1191120,1150126,1195010,1215947,1246946,1362854,1349476,1535728,1666941,1750629,1971437,2142381,2316076,2426664,2476056,2577437,2735409,2606453,2612073,2883486,3769847,3972763,3749412,3338744,3232078,3387868,3194293,3290301,3093978,3025203,3261866,3705063,3574330
 "02000","Alaska",8,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",661,1140,794,795,867,1102,2710,2697,3076,2970,1186,1020,-316,-68,2,-208,-689,4303,7084,7630,2226,4606,4928,4670,6564,7244,8301,8203,10256,9608,9183,13946,13108,12679,5681,8187,7849,4004,2980,-12852,-14145,-12598,-12562,-9152,-12832,-12648,-11142,-8749,-16796,-13657,-12931,-16754,-10930,-35782
 "02000","Alaska",8,CAINC30,230,"...","   Nonfarm proprietors' income ","Thousands of dollars",109096,125039,136941,152391,167763,225977,271862,359208,386427,473098,527628,600023,490939,570853,783729,846444,1110605,1263880,1093393,1254361,1165661,1186514,1145198,1190340,1209383,1239702,1354553,1341273,1525472,1657333,1741446,1957491,2129273,2303397,2420983,2467869,2569588,2731405,2603473,2624925,2897631,3782445,3985325,3758564,3351576,3244726,3399010,3203042,3307097,3107635,3038134,3278620,3715993,3610112
 "02000","Alaska",8,CAINC30,240,"...","Total employment (number of jobs) ","Number of jobs",143816,149006,153071,158341,167102,188957,227185,242956,236928,237556,240753,243706,252410,277085,296629,309004,316395,309714,310141,316728,328642,338924,347156,350764,358161,363344,365083,369095,374497,382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454743,430840,443047,457687
 "02000","Alaska",8,CAINC30,250,"..."," Wage and salary employment ","Number of jobs",130194,134383,137079,140623,147036,165399,198767,208761,199967,197018,199329,202746,216274,231898,244471,254109,259208,249697,240230,244855,258330,269848,274562,279281,284926,288160,288869,289579,293471,298940,299907,307474,313492,319550,323693,329724,335457,342901,346504,351103,350470,352400,358365,364975,365777,365898,367606,360916,357026,355958,358585,331848,340349,349180
 "02000","Alaska",8,CAINC30,260,"..."," Proprietors employment ","Number of jobs",13622,14623,15992,17718,20066,23558,28418,34195,36961,40538,41424,40960,36136,45187,52158,54895,57187,60017,69911,71873,70312,69076,72594,71483,73235,75184,76214,79516,81026,83226,81400,82260,81073,82642,81932,84145,85965,88420,93340,92499,92035,91540,92055,94307,95428,95473,94101,96226,98524,98818,96158,98992,102698,108507
 "02000","Alaska",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",284,291,289,294,303,307,296,305,325,343,388,434,479,526,618,655,680,667,641,613,598,575,550,531,529,524,534,526,540,547,546,549,559,530,516,518,540,535,577,587,596,609,631,645,688,726,776,822,866,877,903,908,908,865
 "02000","Alaska",8,CAINC30,280,"...","  Nonfarm proprietors employment ","Number of jobs",13338,14332,15703,17424,19763,23251,28122,33890,36636,40195,41036,40526,35657,44661,51540,54240,56507,59350,69270,71260,69714,68501,72044,70952,72706,74660,75680,78990,80486,82679,80854,81711,80514,82112,81416,83627,85425,87885,92763,91912,91439,90931,91424,93662,94740,94747,93325,95404,97658,97941,95255,98084,101790,107642
 "02000","Alaska",8,CAINC30,290,"...","Average earnings per job (dollars) ","Dollars",9982,10896,11677,12362,12931,15160,19507,22612,21458,20918,21543,24047,26847,28310,29580,30053,30876,31007,29149,29848,31396,32266,33005,34550,35093,35474,35829,36007,37077,38013,39029,40713,43160,44826,46733,48166,50233,51780,53185,55063,57452,60679,63135,64189,64382,65821,67596,66467,66833,69014,70478,73402,74453,75436
